id	title	text
0		"Lun a Vie 9:00 - 21.00, Sab 9:00 - 14:00  
psique_ser@outlook.com  
Nosotros Red Clínica Espacio Psicoeducativo Campañas de Solidaridad Servicios Blog Contacto  
Blog Details"
1		"Blog Details
Home / Blog"
2		"20 Mar  
Patient-Led Advocacy Group Shares Patient Perspective  
Por Psique&Ser"
3		"Patient-Led Advocacy Group Shares Patient Perspective
""La salud es un estado de completo bienestar físico, mental y social y no solamente la ausencia de afecciones o enfermedades.""  
El 10 de octubre se conmemora el Día Mundial de la Salud Mental con el objetivo de concientizar acerca de los diferentes problemas de salud mental en todo el mundo y recordar que la salud mental es la base para construir vidas plenas y satisfactorias, por lo tanto, es un tema de interés para todos y no sólo para aquellos afectados por un trastorno mental transitorio o permanente.  
¿Qué es la salud mental?  
La Organización Mundial de la Salud (OMS) define a la Salud Mental como un estado de bienestar en el cual cada individuo desarrolla su potencial, puede afrontar las tensiones de la vida, puede trabajar de forma productiva y fructífera, y puede aportar algo a su comunidad.  
La salud mental asocia con cuatro concepciones fundamentales:  
ausencia de síntomas disfuncionales. bienestar físico y emocional. calidad de vida, y presencia de atributos individuales positivos.  
Se considera que la Salud Mental se relaciona con un estado de equilibrio entre la persona y su entorno a lo largo de todas las etapas de la vida, el cual incluye una sensación de bienestar emocional, psíquico y social que influye en la forma en que pensamos, sentimos y actuamos cuando enfrentamos la vida. La salud mental también ayuda a determinar cómo nos relacionamos con nosotros mismos, con los demás y la forma en que tomamos decisiones.  
Algunos de los conceptos sobre salud mental incluyen el bienestar subjetivo, la autonomía, uso de nuestras habilidades y competencias así como el reconocimiento de nuestra habilidad para realizarnos intelectual, social y emocionalmente. La salud mental se refiere a la posibilidad de aumentar nuestras capacidades y permitirnos alcanzar nuestros objetivos,.  
¿Qué es la salud mental?"
4		"Patient-Led Advocacy Group Shares Patient Perspective
¿Qué es la salud mental?  
Factores biológicos, neurológicos, psicológicos y genéticos. Factores ambientales y sociales como inseguridad, desastres, violencia, etc. Experiencias conflictivas de la vida familiar, laboral, escolar o de pareja. Nuestro estilo de vida, como la dieta, actividad física y consumo de sustancias. Experiencias de estrés, trauma o abuso.  
Algunas señales que nos indican que podemos experimentar problema de salud mental:  
Cambios en hábitos de alimentación o de sueño. Cambios constantes de humor que causen malestar personal Inicio o incremento del uso alcohol o drogas Sentirse inusualmente confundido, olvidadizo, enojado, molesto, preocupado o asustado Sentimientos de vacío o tener nada o poca energía Aislamiento de personas y actividades que antes disfrutaba Pensar en lastimarse a sí mismo o a otros Incapacidad o gran dificultad para realizar sus tareas diarias Dificultad o incapacidad para resolver conflictos interpersonales  
Beneficios de la salud mental:  
La salud mental nos permite hacer frente a los momentos de estrés de la vida, desarrollar todas nuestras habilidades, ser auténticos, tomar nuestras propias decisiones, poder aprender y trabajar adecuadamente, además de contribuir plenamente en nuestra calidad de vida y en la convivencia con otras personas.  
Además de mejorar nuestra salud física, nos ayuda a generar relaciones de calidad con otras personas así como permitirnos vivir en un estado de bienestar constante y generar proyectos para el futuro.  
Recomendaciones para mantener una buena salud mental:"
5		"Patient-Led Advocacy Group Shares Patient Perspective
Recomendaciones para mantener una buena salud mental:  
Mantener buenos hábitos alimenticios Realizar actividad física con regularidad Evitar el tabaco y el consumo de drogas Mantener rutinas de sueño estables Sentimientos de vacío o tener nada o poca energía Aislamiento de personas y actividades que antes disfrutaba Pensar en lastimarse a sí mismo o a otros Incapacidad o gran dificultad para realizar sus tareas diarias Dificultad o incapacidad para resolver conflictos interpersonales  
El suicidio es definido como el “acto voluntario e intencional mediante el cual la persona causa su propia muerte (OMS, 2006). A pesar de ser un fenómeno muy estudiado, sigue siendo uno de los temas con más estigma, mitos y tabús alrededor. Dicho estigma hace que se limite la difusión y que el hablar del tema sea visto como algo malo, o como una forma de incitar a las personas a realizarlo, cuando en realidad es la principal línea de prevención ya que sensibiliza y visibiliza una realidad que está muy presente a nivel mundial.  
Actualmente el suicidio es la cuarta causa de muerte a nivel mundial con 703 000 casos al año, y la segunda causa de muerte en México con 8,351 casos reportados, siendo la población de 15 a 29 años más afectada por este fenómeno. Dadas las cifras anuales es que organizaciones como la Organización Mundial de la Salud y la Asociación Internacional para la Prevención del Suicidio han ideado el “Día Mundial para la Prevención del Suicidio” que se conmemora el 10 de septiembre con el objetivo de concientizar a la población sobre el tema y lanzar un mensaje muy importante “el suicidio puede prevenirse”."
6		"Patient-Led Advocacy Group Shares Patient Perspective
El suicidio es un fenómeno complejo, multifactorial y que requiere intervenciones multidisciplinarias. Intervienen en él múltiples factores tanto individuales como del ambiente que rodea al sujeto, dichos factores pueden ser de riesgo y aumentar la probabilidad de realizarlo o pueden ser protectores y disminuirlo. Dadas esas condiciones es que se habla que cada caso es diferente, que no es relacional ni causal, es decir, no es un fenómeno de causa y efecto, por lo que tampoco es secuencial ya que no siguen un orden en cómo se presentan. Existen diversos tipos de conducta suicida que varían en naturaleza y gravedad, que van desde las autolesiones, ideación o pensamiento suicida e intento suicida, y los cuales puede presentarse uno sin necesidad de estar presente otro.  
Al ser la conducta suicida y el suicidio fenómenos tan complejos, es que es existen muchos criterios equivocados respecto a él y que simplifican, discriminan, enjuician, encasillan, etiquetan, tratan de manera peyorativa a las personas que lo intentan, generando más estigma y limitando las opciones de intervención y de prevención, debido a la poca información que se tiene sobre él debido a que está prohibido hablar sobre el tema o lo que se habla no es del todo adecuado. Por esa razón es de suma importancia que haya espacios donde se hable del tema, para visibilizarlo y desmitificar todos los juicios erróneos que se hacen respecto a éste y a las personas que lo llevan a cabo.  
El suicido es prevenible, todos podemos contribuir a ello. Escuchemos a quien muestra señales de querer quitarse la vida, y busquemos ayuda. El suicidio es una solución permanente a un problema temporal. No estás solo.  
""El no hablar sobre un tema lo invisibiliza, y una realidad de la que no se habla simplemente no existe"""
7		"Patient-Led Advocacy Group Shares Patient Perspective
""El no hablar sobre un tema lo invisibiliza, y una realidad de la que no se habla simplemente no existe""  
Todos hemos aprendido el rol de papá y mamá “a través de nuestros padres”. Sin darnos cuenta (a veces) nos sorprendemos repitiendo ese comportamiento. Me quedo con la acertada frase del buen Napoleón Bonaparte: “la educación de un niño comienza 20 años antes de su nacimiento… con la educación que recibieron sus padres”. Cuando van creciendo, es fácil olvidar la importancia y la necesidad de estos gestos. Las muestras de afecto pueden ser un poderoso método de enseñanza que debería perdurar… El mensaje que se envía al niño es que es amado, apreciado y reconocido tal cual es.  
Si un niño es mal portado, llora mucho, es exigente o malcriado… ¿Se debe siempre a una carencia de límites o a la falta de una figura de autoridad?  
En parte es cierto, pero… Cuando los niños “se portan mal” en realidad nos están indicando, con su conducta ciertas “pistas” de qué áreas como papás necesitamos trabajar y poner atención. Detrás de un mal comportamiento, hay una necesidad que debe ser atendida. ¿Cómo descubrirla? Elijan un día para hacer con tu pequeño algo que disfruten juntos… En ese momento sabrás qué espera de ti.  
Para que un niño sea atento, amoroso, empático primero debió recibir buenos tratos, abrazos, ser escuchado, ser merecido, acariciado, sentirse acompañado. Lo que necesita un niño es un adulto que juegue, genuino, disponible, que lo apoye, oriente y guie. No son las experiencias traumáticas en si las que alteran la crianza de los hijos, sino el hecho de no haber tenido la posibilidad de elaborar y resolver el impacto emocional. Competencias o habilidades parentales:"
8		"Patient-Led Advocacy Group Shares Patient Perspective
Las competencias parentales se definen como el saber-hacer o “las capacidades prácticas que tienen las madres y los padres para cuidar, proteger y educar a sus hijos, y asegurarles un desarrollo suficientemente sano.  
Comprender las capacidades parentales implica generar conversaciones que permitan a los papás hablar de sí mismos, de sus diferencias y experiencias. En el trabajo con papás es muy importante considerar este componente, el cual se refiere la mentalización que no es otra cosa que la capacidad para entender las propias conductas y ajenas considerando que estas se originan a partir de intenciones, deseos y necesidades.  
Al mismo tiempo es indispensable poner en perspectiva actual a los papás, la importancia de reflexionar y percibir su sentir respecto a su rol como padres, así como de los espacios para procurarse el descanso y “recargar batería” a fin de continuar con las demandas que implica el desarrollo de nuestros pequeños. La salud mental y la física van de la mano. Si ambas se cuidan aseguran una vida estable, saludable y plena. Entre los diferentes tipos de descanso parental que necesitan ser considerados y llevados acabo están:"
9		"Patient-Led Advocacy Group Shares Patient Perspective
Físico: mejora la salud, la mente y recargar energía (dormir lo necesario, tomar siestas, practicas yoga, estiramientos o masajes). Descanso mental: cuando estamos abrumados por varios pendientes; alejarnos de los dispositivos electrónicos, darse un tiempo fuera del espacio de trabajo para dejar de pensar, caminar unos minutos al aire libre, sentarse por unos minutos en silencio hacer respiraciones profundas). Descanso emocional: espacio para expresar honestamente tus sentimientos y emociones (tiempo a solas para reflexionar, ser sincero cuando actúas con los demás, ser directo al hablar de sus necesidades, no postergarse a sí mismo por querer complacer a los demás). Descanso social: necesario para tener conexiones sociales positivas que revitalicen y te hagan sentir bien (pasar tiempo con personas que te sean agradables, rodearte de personas solidarias y positivas o dejar de socializar por un tiempo).  
¿Qué recursos cuentan los papás para desarrollar sus competencias parentales?"
